,Name,Type,Address,Built,Room Type,Bath,Sqft,Price,Number of Schools,Average School Rating,Median Rental Price,Median Listing Price,Community Features,Unit Features,url
0,,Apartment,"300 11th Ave 300 11th Ave, Seattle, WA 98122",,2-bedroom,2.0,885.0,2095.0,5,4.0,2650.0,684990.0,"['Cats Allowed', '']","['Dishwasher', 'Disposal']",https://www.realtor.com/realestateandhomes-detail/300-11th-Ave_Seattle_WA_98122_M10614-86517
1,,Apartment,"5912 California Ave SW Apt 101, Seattle, WA 98136",,2-bedroom,1.0,835.0,1850.0,5,6.0,2650.0,684990.0,"['Cats Allowed', 'Parking']","['Dishwasher', 'Washer/Dryer in unit']",https://www.realtor.com/realestateandhomes-detail/5912-California-Ave-SW-Apt-101_Seattle_WA_98136_M21371-66358
2,,Apartment,"924 16th Avenue 924 16th Ave, Seattle, WA 98122",,1-bedroom,1.0,740.0,1895.0,6,3.83,2650.0,684990.0,"['Cats Allowed', '']","['Dishwasher', '']",https://www.realtor.com/realestateandhomes-detail/924-16th-Ave_Seattle_WA_98122_M10894-90024
3,,Apartment,"715 2nd Ave N 715 2nd Ave N, Seattle, WA 98109",,studio,1.0,280.0,1245.0,4,8.5,2650.0,684990.0,"['Cats Allowed', '']",,https://www.realtor.com/realestateandhomes-detail/715-2nd-Ave-N_Seattle_WA_98109_M29948-78771
4,,Apartment,"715 2nd Ave N 715 2nd Ave N, Seattle, WA 98109",,studio,1.0,309.0,1345.0,4,8.5,2650.0,684990.0,"['Cats Allowed', '']",,https://www.realtor.com/realestateandhomes-detail/715-2nd-Ave-N_Seattle_WA_98109_M29948-78771
5,,Apartment,"715 2nd Ave N 715 2nd Ave N, Seattle, WA 98109",,studio,1.0,283.0,1365.0,4,8.5,2650.0,684990.0,"['Cats Allowed', '']",,https://www.realtor.com/realestateandhomes-detail/715-2nd-Ave-N_Seattle_WA_98109_M29948-78771
6,Villa,Apartment,"1909 Franklin Ave E, Seattle, WA 98102",1961,1-bedroom,1.0,720.0,1695.0,3,5.33,2650.0,684990.0,"['Balcony', 'Cable Ready', 'Carpet', 'Cats Allowed', 'Deck or terrace', 'Dining Room', 'Double Pane Windows', 'Double paned windows', 'Easy freeway access', 'Elevator', 'Floor to ceiling windows', 'Forced air heaters', 'Freeway Access', 'Granite Countertops', 'Heating', 'High Speed Internet Access', 'Kitchen', 'Laundry Facilities', 'Off street parking', 'Online Resident Services', 'Oven', 'Property Manager on Site', 'Public Transportation', 'Quiet area', 'Range', 'Seattle and Lake Union views', 'Smoke Free', 'Smoke free living', 'Stainless Steel Appliances', 'Tile Floors', 'Tub/Shower', 'Views', 'Vinyl Flooring']","['Cable or Satellite TV', 'Dishwasher', 'Patio/Balcony', 'Refrigerator', 'View', 'Window Coverings']",https://www.realtor.com/realestateandhomes-detail/1909-Franklin-Ave-E_Seattle_WA_98102_M21110-14592
7,Villa,Apartment,"1909 Franklin Ave E, Seattle, WA 98102",1961,1-bedroom,1.0,720.0,1625.0,3,5.33,2650.0,684990.0,"['Balcony', 'Cable Ready', 'Carpet', 'Cats Allowed', 'Deck or terrace', 'Dining Room', 'Double Pane Windows', 'Double paned windows', 'Easy freeway access', 'Elevator', 'Floor to ceiling windows', 'Forced air heaters', 'Freeway Access', 'Granite Countertops', 'Heating', 'High Speed Internet Access', 'Kitchen', 'Laundry Facilities', 'Off street parking', 'Online Resident Services', 'Oven', 'Property Manager on Site', 'Public Transportation', 'Quiet area', 'Range', 'Seattle and Lake Union views', 'Smoke Free', 'Smoke free living', 'Stainless Steel Appliances', 'Tile Floors', 'Tub/Shower', 'Views', 'Vinyl Flooring']","['Cable or Satellite TV', 'Dishwasher', 'Patio/Balcony', 'Refrigerator', 'View', 'Window Coverings']",https://www.realtor.com/realestateandhomes-detail/1909-Franklin-Ave-E_Seattle_WA_98102_M21110-14592
8,Infinity,Apartment,"1414 10th Ave, Seattle, WA 98122",2015,studio,1.0,514.0,2192.0,4,3.25,2650.0,684990.0,"['3 Community Grilling Stations', 'Balcony', 'Bike Storage', 'Bike Storage with Lockers and Repair Station', 'Cable Ready', 'Carpet', 'Cats Allowed', 'Ceiling Fans', 'Close to Music, Arts & Theater Venues', 'Close to Sports Venues', 'Clubhouse', 'Complete Stainless-Steel Appliance Package', 'Composting Program', 'Controlled Access', 'Designer Finishes with Accent Walls*', 'Distinctive Wood-Style Flooring', 'Dry Cleaning Service', 'Eat-in Kitchen', 'Elevator', 'Energy Efficient Lighting', 'Energy Efficient Windows', 'Energy Star Appliances', 'Energy-Efficient, Dual-Pane Windows', 'Expansive 9-Foot Ceilings*', 'Fitness Center', 'Free Weights', 'Full-Size Front-Loading Washers & Dryers', 'Gated', 'Gourmet Kitchens with Prep Islands*', 'Grill', 'Grocery Stores & Conveniences Nearby', 'Hardwood Floors', 'Heating', 'Kitchen', 'Large Dogs Allowed', 'Linen Closets', 'Located in the Heart of Capitol Hill, Surrounded by Restaurants, Entertainment & Shopping', 'Luxurious, Oversized Soaking Tubs', 'Modern Custom-Wood Cabinetry', 'Modern Track Lighting in Kitchens & Dining Spaces', 'Multiple Restaurants within Walking Distance', 'Online Rent Payment and Service Requests', 'Onsite Recycling Program', 'Open-Concept Living Areas', 'Outdoor Courtyard with Fireplace & Fire Pit', 'Oversized Walk-In Closets*', 'Pet Area', 'Picnic Area', 'Property Manager on Site', 'Quartz Countertops Throughout', 'Range', 'Short Walk to Parks & Recreational Activities', 'Smoke-Free Community', 'Stainless Steel Appliances', 'Storage Units', 'Sundeck', 'Tub/Shower', 'Two-Tone Paint Schemes', 'USB Charging Outlets*', 'Upgraded Stainless Refrigerators with French Doors', 'Urban Development', 'Walk-In Closets', 'Washer/Dryer', 'Wheelchair Accessible (Rooms)', 'Wired For Technology', 'iCaf̩ with Coffee Bar & Complimentary Wi-Fi']","['Air Conditioning', 'Cable or Satellite TV', 'Ceiling Fan', 'Courtyard', 'Disability Access', 'Dishwasher', 'Disposal', 'Dryer', 'Fireplace', 'Handrails', 'Microwave', 'Patio/Balcony', 'Refrigerator']",https://www.realtor.com/realestateandhomes-detail/1414-10th-Ave_Seattle_WA_98122_M10115-54371
9,Infinity,Apartment,"1414 10th Ave, Seattle, WA 98122",2015,studio,1.0,425.0,1375.0,4,3.25,2650.0,684990.0,"['3 Community Grilling Stations', 'Balcony', 'Bike Storage', 'Bike Storage with Lockers and Repair Station', 'Cable Ready', 'Carpet', 'Cats Allowed', 'Ceiling Fans', 'Close to Music, Arts & Theater Venues', 'Close to Sports Venues', 'Clubhouse', 'Complete Stainless-Steel Appliance Package', 'Composting Program', 'Controlled Access', 'Designer Finishes with Accent Walls*', 'Distinctive Wood-Style Flooring', 'Dry Cleaning Service', 'Eat-in Kitchen', 'Elevator', 'Energy Efficient Lighting', 'Energy Efficient Windows', 'Energy Star Appliances', 'Energy-Efficient, Dual-Pane Windows', 'Expansive 9-Foot Ceilings*', 'Fitness Center', 'Free Weights', 'Full-Size Front-Loading Washers & Dryers', 'Gated', 'Gourmet Kitchens with Prep Islands*', 'Grill', 'Grocery Stores & Conveniences Nearby', 'Hardwood Floors', 'Heating', 'Kitchen', 'Large Dogs Allowed', 'Linen Closets', 'Located in the Heart of Capitol Hill, Surrounded by Restaurants, Entertainment & Shopping', 'Luxurious, Oversized Soaking Tubs', 'Modern Custom-Wood Cabinetry', 'Modern Track Lighting in Kitchens & Dining Spaces', 'Multiple Restaurants within Walking Distance', 'Online Rent Payment and Service Requests', 'Onsite Recycling Program', 'Open-Concept Living Areas', 'Outdoor Courtyard with Fireplace & Fire Pit', 'Oversized Walk-In Closets*', 'Pet Area', 'Picnic Area', 'Property Manager on Site', 'Quartz Countertops Throughout', 'Range', 'Short Walk to Parks & Recreational Activities', 'Smoke-Free Community', 'Stainless Steel Appliances', 'Storage Units', 'Sundeck', 'Tub/Shower', 'Two-Tone Paint Schemes', 'USB Charging Outlets*', 'Upgraded Stainless Refrigerators with French Doors', 'Urban Development', 'Walk-In Closets', 'Washer/Dryer', 'Wheelchair Accessible (Rooms)', 'Wired For Technology', 'iCaf̩ with Coffee Bar & Complimentary Wi-Fi']","['Air Conditioning', 'Cable or Satellite TV', 'Ceiling Fan', 'Courtyard', 'Disability Access', 'Dishwasher', 'Disposal', 'Dryer', 'Fireplace', 'Handrails', 'Microwave', 'Patio/Balcony', 'Refrigerator']",https://www.realtor.com/realestateandhomes-detail/1414-10th-Ave_Seattle_WA_98122_M10115-54371
